canonicalProductionIndex,productionGroup,batchIndex,bookCode,partCode,nodeCode,titleZhHans,canonicalQuestionKey,registryStatus,publicationState,mappingState
1,PRE-BFA-PUBLISHED,,BOOK-1,P0,KN-PREFACE-001,人工智能如何从文明能力中形成？,ai-formation-from-civilizational-capability,frozen,PUBLISHED,PUBLISHED_EXISTING_AUTHORITY
2,BATCH-003,1,BOOK-1,P0,KN-PREFACE-002,为什么计算能力不能自动产生方向？,why-computation-cannot-create-direction,frozen,UNPUBLISHED,SUCCESSOR_BINDING_PROPOSAL_REQUIRES_TL
3,BATCH-003,2,BOOK-1,P0,KN-PREFACE-003,为什么知识专业化会削弱整体理解？,why-specialization-weakens-whole-understanding,frozen,UNPUBLISHED,SUCCESSOR_BINDING_PROPOSAL_REQUIRES_TL
4,PRE-BFA-PUBLISHED,,BOOK-1,P0,KN-PREFACE-004,为什么需要 PHI OS？,why-phi-os-is-needed,frozen,PUBLISHED,PUBLISHED_EXISTING_AUTHORITY
5,BATCH-003,3,BOOK-1,P0,KN-PREFACE-005,为什么能力增长不等于系统稳定？,why-capability-growth-does-not-equal-stability,frozen,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
6,BATCH-003,4,BOOK-1,P0,KN-PREFACE-006,为什么连接与放大也会传播失稳？,why-connection-and-amplification-spread-instability,frozen,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
7,BATCH-003,5,BOOK-1,P0,KN-PREFACE-007,为什么工具越先进，人却可能越疲惫？,why-advanced-tools-can-increase-fatigue,frozen,UNPUBLISHED,SUCCESSOR_BINDING_PROPOSAL_REQUIRES_TL
8,BATCH-003,6,BOOK-1,P0,KN-PREFACE-008,系统速度失配如何形成现实压力？,how-system-speed-mismatch-creates-pressure,frozen,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
9,BATCH-003,7,BOOK-1,P0,KN-PREFACE-009,现实运行究竟需要承担哪些成本？,what-costs-reality-runtime-carries,frozen,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
10,PRE-BFA-PUBLISHED,,BOOK-1,P0,KN-PREFACE-010,为什么解释结果不等于理解现实？,why-explanation-does-not-equal-understanding,frozen,PUBLISHED,PUBLISHED_EXISTING_AUTHORITY
11,BATCH-003,8,BOOK-1,P0,KN-PREFACE-011,为什么需要描述现实形成的新语言？,why-reality-formation-needs-new-language,frozen,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
12,BATCH-003,9,BOOK-1,P0,KN-PREFACE-012,什么是现实语法？,what-is-reality-grammar,frozen,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
13,PRE-BFA-PUBLISHED,,BOOK-1,P0,KN-PREFACE-013,为什么导航必须先辨认现实位置？,why-navigation-begins-with-reality-position,frozen,PUBLISHED,PUBLISHED_EXISTING_AUTHORITY
14,BATCH-003,10,BOOK-1,P1,KN-B1-P1-001,差异如何打开现实形成的可能,difference-opens-reality-formation,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
15,BATCH-003,11,BOOK-1,P1,KN-B1-P1-002,约束如何裁剪可能并保存差异,constraint-selects-possibility-and-preserves-difference,planned,UNPUBLISHED,KAU_R3_HUMAN_APPROVED
16,BATCH-002,,BOOK-1,P1,KN-B1-P1-003,结构如何由可持续关系形成,structure-forms-from-sustainable-relations,planned,PUBLISHED,PUBLISHED_EXISTING_AUTHORITY
