batchCode,bookCode,nodeCount,startNodeCode,endNodeCode,startCanonicalProductionIndex,endCanonicalProductionIndex
BATCH-003,BOOK-1,24,KN-PREFACE-002,KN-B1-P2-006,2,31
BATCH-004,BOOK-1,24,KN-B1-P2-007,KN-B1-P4-008,32,61
BATCH-005,BOOK-1,4,KN-B1-P4-009,KN-B1-P4-012,62,65
BATCH-006,BOOK-2,24,KN-B1-P5-001,KN-B1-P5-024,66,89
BATCH-007,BOOK-2,24,KN-B1-P5-025,KN-B1-P5-048,90,113
BATCH-008,BOOK-2,24,KN-B1-P5-049,KN-B2-P6-007,114,137
BATCH-009,BOOK-2,24,KN-B2-P6-008,KN-B2-P6-031,138,161
BATCH-010,BOOK-2,24,KN-B2-P6-032,KN-B2-P7-002,162,185
BATCH-011,BOOK-2,24,KN-B2-P7-003,KN-B2-P7-026,186,209
BATCH-012,BOOK-2,24,KN-B2-P7-027,KN-B2-P7-050,210,233
BATCH-013,BOOK-2,7,KN-B2-P7-051,KN-B2-P7-059,234,700
BATCH-014,BOOK-3,24,KN-B2-P8-001,KN-B2-P8-024,241,264
BATCH-015,BOOK-3,24,KN-B2-P8-025,KN-B2-P9-001,265,288
BATCH-016,BOOK-3,24,KN-B2-P9-002,KN-B2-P9-026,289,312
BATCH-017,BOOK-3,24,KN-B2-P9-027,KN-B3-P9-044,313,711
BATCH-018,BOOK-3,8,KN-B3-P9-045,KN-B3-P9-052,712,719
BATCH-019,BOOK-4,24,KN-B2-P7-052,KN-B3-P10-023,235,347
BATCH-020,BOOK-4,24,KN-B3-P10-024,KN-B3-P10-047,348,371
BATCH-021,BOOK-4,24,KN-B3-P10-048,KN-B3-P10-071,372,395
BATCH-022,BOOK-4,24,KN-B3-P10-072,KN-B3-P11-021,396,419
BATCH-023,BOOK-4,24,KN-B3-P11-022,KN-B3-P11-046,420,443
BATCH-024,BOOK-4,24,KN-B3-P11-047,KN-B3-P12-010,444,467
BATCH-025,BOOK-4,24,KN-B3-P12-011,KN-B3-P12-038,468,491
BATCH-026,BOOK-4,24,KN-B3-P12-039,KN-B4-P10-089,492,731
BATCH-027,BOOK-4,24,KN-B4-P10-090,KN-B4-P11-074,732,755
BATCH-028,BOOK-4,24,KN-B4-P11-075,KN-B4-P12-068,756,779
BATCH-029,BOOK-4,24,KN-B4-P12-069,KN-B4-P12-092,780,803
BATCH-030,BOOK-4,6,KN-B4-P12-093,KN-B4-P12-098,804,809
BATCH-031,BOOK-5,24,KN-B4-P13-001,KN-B4-P13-024,504,527
BATCH-032,BOOK-5,24,KN-B4-P13-025,KN-B4-P13-048,528,551
BATCH-033,BOOK-5,24,KN-B4-P13-049,KN-B4-P13-072,552,575
BATCH-034,BOOK-5,24,KN-B4-P13-073,KN-B4-P14-021,576,599
BATCH-035,BOOK-5,24,KN-B4-P14-022,KN-B4-P14-046,600,623
BATCH-036,BOOK-5,24,KN-B4-P14-047,KN-B4-P15-018,624,647
BATCH-037,BOOK-5,24,KN-B4-P15-019,KN-B4-P15-043,648,671
BATCH-038,BOOK-5,24,KN-B4-P15-044,KN-B4-P15-068,672,695
BATCH-039,BOOK-5,24,KN-B4-P15-069,KN-B5-P14-059,696,830
BATCH-040,BOOK-5,24,KN-B5-P14-060,KN-B5-P15-072,831,854
BATCH-041,BOOK-5,24,KN-B5-P15-073,KN-B5-P15-096,855,878
BATCH-042,BOOK-5,24,KN-B5-P15-097,KN-B5-P15-120,879,902
BATCH-043,BOOK-5,11,KN-B5-P15-121,KN-B5-P15-131,903,913
