batchCode,batchIndex,bookCode,partCode,canonicalProductionIndex,nodeCode,titleZhHans,mappingState,publicationState
BATCH-003,1,BOOK-1,P0,2,KN-PREFACE-002,为什么计算能力不能自动产生方向？,SUCCESSOR_BINDING_PROPOSAL_REQUIRES_TL,UNPUBLISHED
BATCH-003,2,BOOK-1,P0,3,KN-PREFACE-003,为什么知识专业化会削弱整体理解？,SUCCESSOR_BINDING_PROPOSAL_REQUIRES_TL,UNPUBLISHED
BATCH-003,3,BOOK-1,P0,5,KN-PREFACE-005,为什么能力增长不等于系统稳定？,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-003,4,BOOK-1,P0,6,KN-PREFACE-006,为什么连接与放大也会传播失稳？,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-003,5,BOOK-1,P0,7,KN-PREFACE-007,为什么工具越先进，人却可能越疲惫？,SUCCESSOR_BINDING_PROPOSAL_REQUIRES_TL,UNPUBLISHED
BATCH-003,6,BOOK-1,P0,8,KN-PREFACE-008,系统速度失配如何形成现实压力？,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-003,7,BOOK-1,P0,9,KN-PREFACE-009,现实运行究竟需要承担哪些成本？,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-003,8,BOOK-1,P0,11,KN-PREFACE-011,为什么需要描述现实形成的新语言？,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-003,9,BOOK-1,P0,12,KN-PREFACE-012,什么是现实语法？,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-003,10,BOOK-1,P1,14,KN-B1-P1-001,差异如何打开现实形成的可能,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-003,11,BOOK-1,P1,15,KN-B1-P1-002,约束如何裁剪可能并保存差异,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-003,12,BOOK-1,P1,17,KN-B1-P1-004,结构如何形成配置、连续性与压缩,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-003,13,BOOK-1,P1,18,KN-B1-P1-005,结构差异如何形成可连接的区域与网络,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-003,14,BOOK-1,P1,20,KN-B1-P1-007,导航如何在结构中获得精度,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-003,15,BOOK-1,P1,21,KN-B1-P1-008,持续结构如何形成场及其梯度与边界,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-003,16,BOOK-1,P1,22,KN-B1-P1-009,多个场如何传播、重叠并共同作用,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-003,17,BOOK-1,P1,23,KN-B1-P1-010,人类如何建立人工结构与制度现实,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-003,18,BOOK-1,P1,24,KN-B1-P1-011,算法与合成场如何重新组织现代现实,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-003,19,BOOK-1,P1,25,KN-B1-P1-012,运行表面与观察接口如何形成,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-003,20,BOOK-1,P2,27,KN-B1-P2-002,投影表面如何成为经验界面,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-003,21,BOOK-1,P2,28,KN-B1-P2-003,投影压缩与分辨率如何选择可经验现实,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-003,22,BOOK-1,P2,29,KN-B1-P2-004,投影如何形成个人、组织与文明世界,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-003,23,BOOK-1,P2,30,KN-B1-P2-005,意义如何形成叙事、解释、信念与身份,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-003,24,BOOK-1,P2,31,KN-B1-P2-006,符号、原型与共同意义如何形成文明叙事,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-004,1,BOOK-1,P2,32,KN-B1-P2-007,结构、功能、关系与网络如何产生不同投影,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-004,2,BOOK-1,P2,33,KN-B1-P2-008,位置、感知、行为、角色与方向如何塑造现实版本,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-004,3,BOOK-1,P2,35,KN-B1-P2-010,多个投影如何协调并形成共同现实,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-004,4,BOOK-1,P2,36,KN-B1-P2-011,社会、制度、经济、历史与文明如何稳定投影,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-004,5,BOOK-1,P2,37,KN-B1-P2-012,人工智能如何参与合成投影、意义与叙事,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-004,6,BOOK-1,P2,38,KN-B1-P2-013,人机共投影如何加速、整合并暴露投影边界,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-004,7,BOOK-1,P3,39,KN-B1-P3-001,时间如何成为运行媒介并形成窗口,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-004,8,BOOK-1,P3,40,KN-B1-P3-002,现实如何获得进入时间的运行接口,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-004,9,BOOK-1,P3,41,KN-B1-P3-003,长期方向与发展重心如何形成,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-004,10,BOOK-1,P3,42,KN-B1-P3-004,现实语法如何组织形成、激活、内化与重组,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-004,11,BOOK-1,P3,44,KN-B1-P3-006,十六个基础问题如何组织辨认、建立、共存与延续,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-004,12,BOOK-1,P3,45,KN-B1-P3-007,运行需求如何选择九种基础能力,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-004,13,BOOK-1,P3,46,KN-B1-P3-008,方向、理解、表达、位置与资源能力如何协同,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-004,14,BOOK-1,P3,47,KN-B1-P3-009,执行、关系、生存与驱动能力如何协同,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-004,15,BOOK-1,P3,48,KN-B1-P3-010,运行驱动如何形成优先级与变化偏向,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-004,16,BOOK-1,P3,49,KN-B1-P3-011,坐标与运动语法如何组织现实变化,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-004,17,BOOK-1,P3,50,KN-B1-P3-012,八种基础运动如何转换、闭环与稳定,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-004,18,BOOK-1,P3,51,KN-B1-P3-013,运动如何形成回路、网络与不同尺度,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-004,19,BOOK-1,P3,52,KN-B1-P3-014,激活窗口、权重、场与时间如何共同放大或结束运动,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-004,20,BOOK-1,P4,54,KN-B1-P4-001,持续运行如何通过压缩成为生命组织,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-004,21,BOOK-1,P4,55,KN-B1-P4-002,生物压缩如何形成稳定运行配置,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-004,22,BOOK-1,P4,58,KN-B1-P4-005,载体能力、约束、完整性与适应如何共同运行,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-004,23,BOOK-1,P4,60,KN-B1-P4-007,感官、环境与摄取条件如何调制现实输入,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-004,24,BOOK-1,P4,61,KN-B1-P4-008,过滤、注意、优先级与解析度如何形成认知入口,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-005,1,BOOK-1,P4,62,KN-B1-P4-009,神经、激素、节律与代谢如何把现实转成身体状态,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-005,2,BOOK-1,P4,63,KN-B1-P4-010,生物噪声、缓冲与适应如何改变载体运行,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-005,3,BOOK-1,P4,64,KN-B1-P4-011,光、空气、水、食物、声音、温度与空间如何成为运行介质,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-005,4,BOOK-1,P4,65,KN-B1-P4-012,载体如何形成稳定组织，并在维护、漂移、失败与恢复之间运行,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-006,1,BOOK-2,P5,66,KN-B1-P5-001,为什么某些 Reality 会进入意识,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-006,2,BOOK-2,P5,67,KN-B1-P5-002,Reality 如何形成体验,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-006,3,BOOK-2,P5,68,KN-B1-P5-003,现实如何在觉察之外继续运行,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-006,4,BOOK-2,P5,69,KN-B1-P5-004,为什么意识误以为自己创造 Reality,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-006,5,BOOK-2,P5,70,KN-B1-P5-005,为什么持续的运行中心会逐渐形成稳定的自我模型,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-006,6,BOOK-2,P5,71,KN-B1-P5-006,情绪为何出现,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-006,7,BOOK-2,P5,72,KN-B1-P5-007,现实如何留下适应痕迹,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-006,8,BOOK-2,P5,73,KN-B1-P5-008,体验配置系统如何形成,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-006,9,BOOK-2,P5,74,KN-B1-P5-009,Reality 如何被观察,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-006,10,BOOK-2,P5,75,KN-B1-P5-010,复杂 Experience 如何被压缩,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-006,11,BOOK-2,P5,76,KN-B1-P5-011,意图为何形成,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-006,12,BOOK-2,P5,77,KN-B1-P5-012,身份如何被维持,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-006,13,BOOK-2,P5,78,KN-B1-P5-013,人工智能是否能够形成自我模型,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-006,14,BOOK-2,P5,79,KN-B1-P5-014,体验如何进入觉察,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-006,15,BOOK-2,P5,80,KN-B1-P5-015,为什么 Consciousness 是过程而不是对象,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-006,16,BOOK-2,P5,81,KN-B1-P5-016,为什么不同人体验不同 Reality,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-006,17,BOOK-2,P5,82,KN-B1-P5-017,自我如何开始观察自己,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-006,18,BOOK-2,P5,83,KN-B1-P5-018,为什么自我会不断维持自己的存在,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-006,19,BOOK-2,P5,84,KN-B1-P5-019,为什么同一个生命会形成彼此冲突的多个自我状态,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-006,20,BOOK-2,P5,85,KN-B1-P5-020,自我如何重新整合,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-006,21,BOOK-2,P5,86,KN-B1-P5-021,情绪如何预测未来,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-006,22,BOOK-2,P5,87,KN-B1-P5-022,情绪如何参与未来模拟,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-006,23,BOOK-2,P5,88,KN-B1-P5-023,情绪如何被调节,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-006,24,BOOK-2,P5,89,KN-B1-P5-024,情绪如何扭曲 Reality,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-007,1,BOOK-2,P5,90,KN-B1-P5-025,适应如何改变运行方式,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-007,2,BOOK-2,P5,91,KN-B1-P5-026,适应结构如何重新整合,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-007,3,BOOK-2,P5,92,KN-B1-P5-027,为什么进入系统的 Reality 只有部分形成体验,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-007,4,BOOK-2,P5,93,KN-B1-P5-028,体验如何获得稳定性,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-007,5,BOOK-2,P5,94,KN-B1-P5-029,Reality 为什么变得重要,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
BATCH-007,6,BOOK-2,P5,95,KN-B1-P5-030,不同 Experience 如何被组织为整体,KAU_R3_HUMAN_APPROVED,UNPUBLISHED
