"序号","分类","R2 object key","公开图片链接","用途","原登记页面","检查状态","实际显示页面","引用文件"
"1","品牌标识","images/branding/logo/PHIOS-APP-ICON-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/branding/logo/PHIOS-APP-ICON-v1.svg","LOGO-012","","BROWSER_ICON_ACTIVE","/privacy.html | /checkout.html | /payment-success.html | /payment-failure.html | /book-one-preview.html","content/customer-experience-rebuild/authority/customer-brand-asset-authority-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/production-truth/brand/ptrc-w1-brand-asset-registry-v1.json | content/registry/public-assets.json | content/web-production/client-visual-consumption/evidence/branding-r2-live-verification-v1.json | content/web-production/registries/phios-logo-registry-v1.json"
"2","品牌标识","images/branding/logo/PHIOS-FAVICON-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/branding/logo/PHIOS-FAVICON-v1.svg","LOGO-011","","BROWSER_ICON_ACTIVE","/academy/ | /account/ | /professional/financial/ | /figures/ | /reality/ | /professional/ | /explore/how-it-works/ | /perspectives/ | /professional/appointments/ | /professional/reports/ | /privacy.html | / | /perspectives/personal/ | /knowledge/ | /perspectives/tarot/ | /professional/services/ | /checkout.html | /payment-success.html | /payment-failure.html | /book-one-preview.html","assets/js/branding/favicon-authority.js | content/civilization-atlas/maintenance/book-v-civ-atlas-r1-m1-w0-baseline-reconciliation-v1.json | content/customer-experience-rebuild/authority/customer-brand-asset-authority-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/production-truth/brand/ptrc-w1-brand-asset-registry-v1.json | content/registry/public-assets.json | content/web-production/client-visual-consumption/evidence/branding-r2-live-verification-v1.json | content/web-production/registries/phios-logo-registry-v1.json"
"3","品牌标识","images/branding/logo/PHIOS-LOGO-GETPHIOS-COM-LOCKUP-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/branding/logo/PHIOS-LOGO-GETPHIOS-COM-LOCKUP-v1.svg","LOGO-006","","CONTEXTUAL_VARIANT_NOT_REQUIRED","","content/customer-experience-rebuild/authority/customer-brand-asset-authority-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/production-truth/brand/ptrc-w1-brand-asset-registry-v1.json | content/registry/public-assets.json | content/web-production/client-visual-consumption/evidence/branding-r2-live-verification-v1.json | content/web-production/registries/phios-logo-registry-v1.json"
"4","品牌标识","images/branding/logo/PHIOS-LOGO-MARK-FLAT-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/branding/logo/PHIOS-LOGO-MARK-FLAT-v1.svg","Public editorial illustration; not a new knowledge claim.","","CONTEXTUAL_VARIANT_NOT_REQUIRED","","content/web-production/registries/client-visual-asset-registry-v1.8.json"
"5","品牌标识","images/branding/logo/PHIOS-LOGO-MARK-MONO-DARK-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/branding/logo/PHIOS-LOGO-MARK-MONO-DARK-v1.svg","LOGO-007","","CONTEXTUAL_VARIANT_NOT_REQUIRED","","content/customer-experience-rebuild/authority/customer-brand-asset-authority-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/production-truth/brand/ptrc-w1-brand-asset-registry-v1.json | content/registry/public-assets.json | content/web-production/client-visual-consumption/evidence/branding-r2-live-verification-v1.json | content/web-production/registries/phios-logo-registry-v1.json"
"6","品牌标识","images/branding/logo/PHIOS-LOGO-MARK-MONO-LIGHT-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/branding/logo/PHIOS-LOGO-MARK-MONO-LIGHT-v1.svg","LOGO-008","","CONTEXTUAL_VARIANT_NOT_REQUIRED","","content/customer-experience-rebuild/authority/customer-brand-asset-authority-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/production-truth/brand/ptrc-w1-brand-asset-registry-v1.json | content/registry/public-assets.json | content/web-production/client-visual-consumption/evidence/branding-r2-live-verification-v1.json | content/web-production/registries/phios-logo-registry-v1.json"
"7","品牌标识","images/branding/logo/PHIOS-LOGO-MARK-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/branding/logo/PHIOS-LOGO-MARK-v1.svg","LOGO-001","","CONTEXTUAL_VARIANT_NOT_REQUIRED","","content/customer-experience-rebuild/authority/customer-brand-asset-authority-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/production-truth/brand/ptrc-w1-brand-asset-registry-v1.json | content/registry/public-assets.json | content/web-production/client-visual-consumption/evidence/branding-r2-live-verification-v1.json | content/web-production/registries/phios-logo-registry-v1.json"
"8","品牌标识","images/branding/logo/PHIOS-LOGO-PRIMARY-HORIZONTAL-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/branding/logo/PHIOS-LOGO-PRIMARY-HORIZONTAL-v1.svg","LOGO-003","","DISPLAYED_ON_ACTIVE_SURFACE","/professional-consent-sharing.html | /external-reader-intake.html | /privacy.html | /professional-workspace.html | /checkout.html | /payment-success.html | /payment-failure.html | /book-one-preview.html","content/customer-experience-rebuild/authority/customer-brand-asset-authority-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/production-truth/brand/ptrc-w1-brand-asset-registry-v1.json | content/registry/public-assets.json | content/web-production/client-visual-consumption/evidence/branding-r2-live-verification-v1.json | content/web-production/registries/phios-logo-registry-v1.json"
"9","品牌标识","images/branding/logo/PHIOS-LOGO-PRIMARY-MONO-DARK-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/branding/logo/PHIOS-LOGO-PRIMARY-MONO-DARK-v1.svg","LOGO-009","","DISPLAYED_ON_ACTIVE_SURFACE","/academy/ | /account/ | /professional/financial/ | /figures/ | /reality/ | /professional/ | /explore/how-it-works/ | /perspectives/ | /professional/appointments/ | /professional/reports/ | / | /perspectives/personal/ | /knowledge/ | /perspectives/tarot/ | /professional/services/","content/customer-experience-rebuild/authority/customer-brand-asset-authority-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/product-visual-platform-r1/static-assets/evidence/pvp-r1-vis-w31-remote-verification-v1.json | content/product-visual-platform-r1/static-assets/pvp-r1-vis-w29-static-production-asset-selection-v1.json | content/product-visual-platform-r1/static-assets/pvp-r1-vis-w30-static-production-asset-registry-v1.json | content/production-truth/brand/ptrc-w1-brand-asset-registry-v1.json | content/registry/public-assets.json | content/web-production/client-visual-consumption/evidence/branding-r2-live-verification-v1.json | content/web-production/registries/phios-logo-registry-v1.json"
"10","品牌标识","images/branding/logo/PHIOS-LOGO-PRIMARY-MONO-LIGHT-v1.svg","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/images/branding/logo/PHIOS-LOGO-PRIMARY-MONO-LIGHT-v1.svg","LOGO-010","","DISPLAYED_ON_ACTIVE_SURFACE","/academy/ | /account/ | /professional/financial/ | /figures/ | /reality/ | /professional/ | /explore/how-it-works/ | /perspectives/ | /professional/appointments/ | /professional/reports/ | /privacy.html | / | /perspectives/personal/ | /knowledge/ | /perspectives/tarot/ | /professional/services/ | /checkout.html | /payment-success.html | /payment-failure.html | /book-one-preview.html","content/customer-experience-rebuild/authority/customer-brand-asset-authority-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v2.json | content/customer-experience-rebuild/authority/customer-visual-asset-registry-v3.json | content/production-truth/brand/ptrc-w1-brand-asset-registry-v1.json | content/registry/public-assets.json | content/web-production/client-visual-consumption/evidence/branding-r2-live-verification-v1.json | content/web-production/registries/phios-logo-registry-v1.json"
