objectKey,publicUrl,category,meaning
"books/covers/book-6/book-6-3d-hardcover.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/covers/book-6/book-6-3d-hardcover.webp","books/covers","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/covers/book-7/book-7-3d-hardcover.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/covers/book-7/book-7-3d-hardcover.webp","books/covers","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-1/page-01.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-1/page-01.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-1/page-02.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-1/page-02.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-1/page-03.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-1/page-03.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-1/page-04.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-1/page-04.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-1/page-05.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-1/page-05.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-1/page-06.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-1/page-06.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-1/page-07.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-1/page-07.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-1/page-08.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-1/page-08.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-1/page-09.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-1/page-09.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-1/page-10.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-1/page-10.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-1/page-11.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-1/page-11.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-1/page-12.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-1/page-12.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-1/page-13.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-1/page-13.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
"books/previews/book-1/page-14.webp","https://pub-1967bc5812ee4164b19a806fb1427021.r2.dev/books/previews/book-1/page-14.webp","books/previews","NO_EXACT_SOURCE_REFERENCE; dynamic loading not excluded"
