assetId,filename,family,subjectId,aspectRatio,batchId,origin,simpleCommand
"VIS-CIV-T00-HERO","VIS-CIV-T00-HERO.webp","TIMELINE_ANCHOR","T00","16:09","CIV-VIS-B01","USER_SUPPLIED_CSV","继续 TIMELINE_ANCHOR 第一批 10 张"
"VIS-CIV-T01-HERO","VIS-CIV-T01-HERO.webp","TIMELINE_ANCHOR","T01","16:09","CIV-VIS-B01","USER_SUPPLIED_CSV","继续 TIMELINE_ANCHOR 第一批 10 张"
"VIS-CIV-T02-HERO","VIS-CIV-T02-HERO.webp","TIMELINE_ANCHOR","T02","16:09","CIV-VIS-B01","USER_SUPPLIED_CSV","继续 TIMELINE_ANCHOR 第一批 10 张"
"VIS-CIV-T03-HERO","VIS-CIV-T03-HERO.webp","TIMELINE_ANCHOR","T03","16:09","CIV-VIS-B01","USER_SUPPLIED_CSV","继续 TIMELINE_ANCHOR 第一批 10 张"
"VIS-CIV-T04-HERO","VIS-CIV-T04-HERO.webp","TIMELINE_ANCHOR","T04","16:09","CIV-VIS-B01","USER_SUPPLIED_CSV","继续 TIMELINE_ANCHOR 第一批 10 张"
"VIS-CIV-T05-HERO","VIS-CIV-T05-HERO.webp","TIMELINE_ANCHOR","T05","16:09","CIV-VIS-B01","USER_SUPPLIED_CSV","继续 TIMELINE_ANCHOR 第一批 10 张"
"VIS-CIV-T06-HERO","VIS-CIV-T06-HERO.webp","TIMELINE_ANCHOR","T06","16:09","CIV-VIS-B01","USER_SUPPLIED_CSV","继续 TIMELINE_ANCHOR 第一批 10 张"
"VIS-CIV-T07-HERO","VIS-CIV-T07-HERO.webp","TIMELINE_ANCHOR","T07","16:09","CIV-VIS-B01","USER_SUPPLIED_CSV","继续 TIMELINE_ANCHOR 第一批 10 张"
"VIS-CIV-T08-HERO","VIS-CIV-T08-HERO.webp","TIMELINE_ANCHOR","T08","16:09","CIV-VIS-B01","USER_SUPPLIED_CSV","继续 TIMELINE_ANCHOR 第一批 10 张"
"VIS-CIV-T09-HERO","VIS-CIV-T09-HERO.webp","TIMELINE_ANCHOR","T09","16:09","CIV-VIS-B01","USER_SUPPLIED_CSV","继续 TIMELINE_ANCHOR 第一批 10 张"
"VIS-CIV-T10-HERO","VIS-CIV-T10-HERO.webp","TIMELINE_ANCHOR","T10","16:09","CIV-VIS-B02","USER_SUPPLIED_CSV","继续 TIMELINE_ANCHOR 第二批 10 张"
