assetId,filename,family,batchId,simpleCommand
"VIS-CIV-CA-T07-01-HERO","VIS-CIV-CA-T07-01-HERO.webp","CASE_HERO","CIV-VIS-B07","继续 CASE_HERO 第五批 10 张"
"VIS-CIV-CA-T07-02-HERO","VIS-CIV-CA-T07-02-HERO.webp","CASE_HERO","CIV-VIS-B07","继续 CASE_HERO 第五批 10 张"
"VIS-CIV-CA-T13-03-HERO","VIS-CIV-CA-T13-03-HERO.webp","CASE_HERO","CIV-VIS-B11","继续 CASE_HERO 第九批 10 张"
"VIS-CIV-CA-T13-04-HERO","VIS-CIV-CA-T13-04-HERO.webp","CASE_HERO","CIV-VIS-B11","继续 CASE_HERO 第九批 10 张"
"VIS-CIV-CA-T13-05-HERO","VIS-CIV-CA-T13-05-HERO.webp","CASE_HERO","CIV-VIS-B11","继续 CASE_HERO 第九批 10 张"
"VIS-CIV-CA-T13-06-HERO","VIS-CIV-CA-T13-06-HERO.webp","CASE_HERO","CIV-VIS-B11","继续 CASE_HERO 第九批 10 张"
"VIS-CIV-CA-T14-01-HERO","VIS-CIV-CA-T14-01-HERO.webp","CASE_HERO","CIV-VIS-B11","继续 CASE_HERO 第九批 10 张"
"VIS-CIV-CA-T14-02-HERO","VIS-CIV-CA-T14-02-HERO.webp","CASE_HERO","CIV-VIS-B11","继续 CASE_HERO 第九批 10 张"
"VIS-CIV-CA-T14-03-HERO","VIS-CIV-CA-T14-03-HERO.webp","CASE_HERO","CIV-VIS-B11","继续 CASE_HERO 第九批 10 张"
"VIS-CIV-CA-T14-04-HERO","VIS-CIV-CA-T14-04-HERO.webp","CASE_HERO","CIV-VIS-B11","继续 CASE_HERO 第九批 10 张"
"VIS-CIV-CA-T14-05-HERO","VIS-CIV-CA-T14-05-HERO.webp","CASE_HERO","CIV-VIS-B11","继续 CASE_HERO 第九批 10 张"
"VIS-CIV-CA-T14-06-HERO","VIS-CIV-CA-T14-06-HERO.webp","CASE_HERO","CIV-VIS-B11","继续 CASE_HERO 第九批 10 张"
"VIS-CIV-CA-T15-01-HERO","VIS-CIV-CA-T15-01-HERO.webp","CASE_HERO","CIV-VIS-B12","继续 CASE_HERO 第十批 10 张"
"VIS-CIV-CA-T15-02-HERO","VIS-CIV-CA-T15-02-HERO.webp","CASE_HERO","CIV-VIS-B12","继续 CASE_HERO 第十批 10 张"
"VIS-CIV-CA-T15-03-HERO","VIS-CIV-CA-T15-03-HERO.webp","CASE_HERO","CIV-VIS-B12","继续 CASE_HERO 第十批 10 张"
"VIS-CIV-CA-T15-04-HERO","VIS-CIV-CA-T15-04-HERO.webp","CASE_HERO","CIV-VIS-B12","继续 CASE_HERO 第十批 10 张"
"VIS-CIV-CA-T15-05-HERO","VIS-CIV-CA-T15-05-HERO.webp","CASE_HERO","CIV-VIS-B12","继续 CASE_HERO 第十批 10 张"
"VIS-CIV-CA-T15-06-HERO","VIS-CIV-CA-T15-06-HERO.webp","CASE_HERO","CIV-VIS-B12","继续 CASE_HERO 第十批 10 张"
"VIS-CIV-CA-T16-01-HERO","VIS-CIV-CA-T16-01-HERO.webp","CASE_HERO","CIV-VIS-B12","继续 CASE_HERO 第十批 10 张"
"VIS-CIV-CA-T16-02-HERO","VIS-CIV-CA-T16-02-HERO.webp","CASE_HERO","CIV-VIS-B12","继续 CASE_HERO 第十批 10 张"
"VIS-CIV-CA-T16-03-HERO","VIS-CIV-CA-T16-03-HERO.webp","CASE_HERO","CIV-VIS-B12","继续 CASE_HERO 第十批 10 张"
"VIS-CIV-CA-T16-04-HERO","VIS-CIV-CA-T16-04-HERO.webp","CASE_HERO","CIV-VIS-B12","继续 CASE_HERO 第十批 10 张"
"VIS-CIV-CA-T16-05-HERO","VIS-CIV-CA-T16-05-HERO.webp","CASE_HERO","CIV-VIS-B13","继续 CASE_HERO 第十一批 10 张"
