runtimeFamily,capabilityCode,capabilityName,capabilityType,currentState,currentRM,currentEM,primaryClientExperience,clientExperiences,lensRole,liveVerified
CMW,CMW-MASTER-REGISTRY,Master work registry,GOVERNANCE,IMPLEMENTED,RM-5,EM-0,NONE_BY_DESIGN,,NONE_BY_DESIGN,False
CMW,CMW-RUNTIME-PLANE,Runtime plane registry,GOVERNANCE,IMPLEMENTED,RM-5,EM-0,NONE_BY_DESIGN,,NONE_BY_DESIGN,False
CMW,CMW-DEPENDENCY,Runtime dependency registry,GOVERNANCE,IMPLEMENTED,RM-5,EM-0,NONE_BY_DESIGN,,NONE_BY_DESIGN,False
RG,RG-CHECKER-IDENTITY,Checker identity governance,GOVERNANCE,IMPLEMENTED,RM-5,EM-0,NONE_BY_DESIGN,,NONE_BY_DESIGN,False
RG,RG-CHECKER-LIFECYCLE,Checker lifecycle governance,GOVERNANCE,IMPLEMENTED,RM-5,EM-0,NONE_BY_DESIGN,,NONE_BY_DESIGN,False
RG,RG-NO-MUTATION,Checker no-mutation governance,GOVERNANCE,IMPLEMENTED,RM-5,EM-0,NONE_BY_DESIGN,,NONE_BY_DESIGN,False
PDS,PDS-EXPERIENCE,Experience principles,GOVERNANCE,IMPLEMENTED,RM-5,EM-0,NONE_BY_DESIGN,,NONE_BY_DESIGN,False
PDS,PDS-COMPONENT-SHELL,Core component shell,GOVERNANCE,IMPLEMENTED,RM-5,EM-0,NONE_BY_DESIGN,,NONE_BY_DESIGN,False
PDS,PDS-JOURNEY-SHELL,Reality Journey shell,GOVERNANCE,IMPLEMENTED,RM-5,EM-0,NONE_BY_DESIGN,,NONE_BY_DESIGN,False
PDS,PDS-FULL-SITE,Full-site design acceptance,GOVERNANCE,IMPLEMENTED,RM-5,EM-0,NONE_BY_DESIGN,,NONE_BY_DESIGN,False
CPR,CPR-PRESENTATION,Canonical presentation object,RUNTIME,IMPLEMENTED,RM-6,EM-0,NONE_BY_DESIGN,,NONE_BY_DESIGN,False
